opening_date(kor),closing_date(kor),opening_price,closing_price,high_price,low_price,trade_price,trade_volume
2017-09-26 0:00,2017-09-26 1:00,4297000,4302000,4304000,4228000,4301000,2.01966826
2017-09-26 1:00,2017-09-26 2:00,4302000,4303000,4332000,4293000,4305000,6.7685931
2017-09-26 2:00,2017-09-26 3:00,4303000,4304000,4314000,4296000,4304000,2.1167204
2017-09-26 3:00,2017-09-26 4:00,4304000,4308000,4315000,4287000,4313000,1.09358113
2017-09-26 4:00,2017-09-26 5:00,4308000,4320000,4323000,4307000,4320000,0.15938783
2017-09-26 5:00,2017-09-26 6:00,4320000,4322000,4333000,4316000,4322000,0.17825051
2017-09-26 6:00,2017-09-26 7:00,4322000,4320000,4330000,4314000,4317000,0.45196136
2017-09-26 7:00,2017-09-26 8:00,4320000,4305000,4332000,4303000,4305000,0.51839888
2017-09-26 8:00,2017-09-26 9:00,4305000,4317000,4322000,4298000,4322000,0.74850859
2017-09-26 9:00,2017-09-26 10:00,4317000,4334000,4336000,4314000,4334000,0.18235706
2017-09-26 10:00,2017-09-26 11:00,4334000,4342000,4356000,4327000,4337000,0.83865175
2017-09-26 11:00,2017-09-26 12:00,4342000,4380000,4382000,4342000,4379000,1.27543103
2017-09-26 12:00,2017-09-26 13:00,4380000,4333000,4380000,4330000,4333000,1.1601994
2017-09-26 13:00,2017-09-26 14:00,4333000,4346000,4351000,4321000,4346000,0.69295482
2017-09-26 14:00,2017-09-26 15:00,4346000,4318000,4352000,4311000,4324000,0.82998661
2017-09-26 15:00,2017-09-26 16:00,4318000,4345000,4349000,4318000,4345000,0.42937077
2017-09-26 16:00,2017-09-26 17:00,4345000,4366000,4369000,4333000,4367000,0.28476741
2017-09-26 17:00,2017-09-26 18:00,4366000,4369000,4371000,4345000,4369000,0.46023178
2017-09-26 18:00,2017-09-26 19:00,4369000,4367000,4372000,4351000,4363000,0.448384
2017-09-26 19:00,2017-09-26 20:00,4367000,4380000,4392000,4361000,4389000,1.18298589
2017-09-26 20:00,2017-09-26 21:00,4380000,4397000,4400000,4380000,4396000,1.22815308
2017-09-26 21:00,2017-09-26 22:00,4397000,4385000,4418000,4376000,4389000,2.73305491
2017-09-26 22:00,2017-09-26 23:00,4385000,4377000,4400000,4319000,4373000,1.40132314
2017-09-26 23:00,2017-09-27 0:00,4377000,4377000,4388000,4370000,4380000,1.60088533
2017-09-27 0:00,2017-09-27 1:00,4377000,4361000,4382000,4357000,4371000,1.51807848
2017-09-27 1:00,2017-09-27 2:00,4361000,4363000,4379000,4348000,4362000,0.82914297
2017-09-27 2:00,2017-09-27 3:00,4363000,4373000,4379000,4357000,4377000,0.32822348
2017-09-27 3:00,2017-09-27 4:00,4373000,4364000,4376000,4355000,4370000,0.39276583
2017-09-27 4:00,2017-09-27 5:00,4364000,4367000,4381000,4359000,4366000,0.73584535
2017-09-27 5:00,2017-09-27 6:00,4367000,4362000,4376000,4346000,4358000,0.31739472
2017-09-27 6:00,2017-09-27 7:00,4362000,4377000,4390000,4360000,4377000,1.88264703
2017-09-27 7:00,2017-09-27 8:00,4377000,4356000,4377000,4354000,4356000,0.7372548
2017-09-27 8:00,2017-09-27 9:00,4356000,4322000,4360000,4321000,4321000,1.29825005
2017-09-27 9:00,2017-09-27 10:00,4322000,4351000,4363000,4318000,4351000,1.73214446
2017-09-27 10:00,2017-09-27 11:00,4351000,4348000,4366000,4348000,4350000,0.27852475
2017-09-27 11:00,2017-09-27 12:00,4348000,4361000,4362000,4344000,4355000,0.695789
2017-09-27 12:00,2017-09-27 13:00,4361000,4395000,4396000,4353000,4395000,1.73488033
2017-09-27 13:00,2017-09-27 14:00,4395000,4394000,4406000,4388000,4391000,1.01539646
2017-09-27 14:00,2017-09-27 15:00,4394000,4408000,4408000,4392000,4404000,0.88580346
2017-09-27 15:00,2017-09-27 16:00,4408000,4411000,4421000,4358000,4409000,2.58917845
2017-09-27 16:00,2017-09-27 17:00,4411000,4437000,4448000,4411000,4435000,1.62478824
2017-09-27 17:00,2017-09-27 18:00,4437000,4432000,4437000,4415000,4426000,0.3972757
2017-09-27 18:00,2017-09-27 19:00,4432000,4450000,4447000,4427000,4442000,0.3951009
2017-09-27 19:00,2017-09-27 20:00,4450000,4497000,4503000,4443000,4503000,3.32505796
2017-09-27 20:00,2017-09-27 21:00,4497000,4509000,4536000,4495000,4508000,1.53258023
2017-09-27 21:00,2017-09-27 22:00,4509000,4514000,4532000,4498000,4518000,0.32168963
2017-09-27 22:00,2017-09-27 23:00,4514000,4491000,4514000,4478000,4484000,0.4513153
2017-09-27 23:00,2017-09-28 0:00,4491000,4527000,4531000,4485000,4527000,1.37686384
2017-09-28 0:00,2017-09-28 1:00,4527000,4505000,4532000,4495000,4503000,0.26756429
2017-09-28 1:00,2017-09-28 2:00,4505000,4514000,4531000,4495000,4521000,0.54794644
2017-09-28 2:00,2017-09-28 3:00,4514000,4519000,4527000,4514000,4515000,0.8647368
2017-09-28 3:00,2017-09-28 4:00,4519000,4564000,4570000,4515000,4570000,2.92791139
2017-09-28 4:00,2017-09-28 5:00,4564000,4576000,4585000,4555000,4582000,1.04642572
2017-09-28 5:00,2017-09-28 6:00,4576000,4546000,4578000,4547000,4547000,1.2135257
2017-09-28 6:00,2017-09-28 7:00,4546000,4591000,4597000,4515000,4596000,3.26213868
2017-09-28 7:00,2017-09-28 8:00,4591000,4596000,4598000,4579000,4596000,1.62677192
2017-09-28 8:00,2017-09-28 9:00,4596000,4657000,4677000,4596000,4657000,2.15625205
2017-09-28 9:00,2017-09-28 10:00,4657000,4626000,4664000,4610000,4626000,1.09155306
2017-09-28 10:00,2017-09-28 11:00,4626000,4620000,4635000,4610000,4615000,0.56554426
2017-09-28 11:00,2017-09-28 12:00,4620000,4632000,4642000,4615000,4635000,0.36138454
2017-09-28 12:00,2017-09-28 13:00,4632000,4740000,4752000,4627000,4744000,3.71134608
2017-09-28 13:00,2017-09-28 14:00,4740000,4760000,4762000,4702000,4753000,3.84236922
2017-09-28 14:00,2017-09-28 15:00,4760000,4728000,4765000,4734000,4734000,1.13047755
2017-09-28 15:00,2017-09-28 16:00,4728000,4755000,4752000,4726000,4750000,1.0754542
2017-09-28 16:00,2017-09-28 17:00,4755000,4729000,4772000,4721000,4729000,2.18339263
2017-09-28 17:00,2017-09-28 18:00,4729000,4737000,4750000,4721000,4737000,1.18163119
2017-09-28 18:00,2017-09-28 19:00,4737000,4764000,4770000,4723000,4766000,2.15526104
2017-09-28 19:00,2017-09-28 20:00,4764000,4600000,4764000,4519000,4590000,15.58084142
2017-09-28 20:00,2017-09-28 21:00,4600000,4632000,4661000,4577000,4632000,11.31648855
2017-09-28 21:00,2017-09-28 22:00,4632000,4659000,4672000,4596000,4654000,2.26001108
2017-09-28 22:00,2017-09-28 23:00,4659000,4639000,4674000,4629000,4635000,0.83415706
2017-09-28 23:00,2017-09-29 0:00,4639000,4560000,4645000,4551000,4560000,5.34607738
2017-09-29 0:00,2017-09-29 1:00,4560000,4558000,4573000,4520000,4560000,3.84981385
2017-09-29 1:00,2017-09-29 2:00,4558000,4590000,4596000,4546000,4585000,3.45135578
